,Star_name,Distance,Mass,Radius
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99
1,2MASS J08283419-1309198,,,
2,2MASS J00040288-6410358,192,19,1.63
3,LHS 102BC,,,
4,2MASS J00242463-0158201,37.7,79,1.09
5,2MASS J00250365+4759191AB,143,,
6,2MASS J00274197+0503417,236,31,1.44
7,2MASS J00275592+2219328,46.9,,
8,2MASSW J0030300-145033,87.2,54,0.98
9,2MASS J00332386-1521309 [de],131,29,1.43
10,2MASS J00345157+0523050,31,42,0.94
11,2MASS 0036+1821,28.6,42,0.94
12,2MASSW J0045214+163445,57,23,1.62
13,WISEP J004701.06+680352.1 [fr],40,12,1.3
14,2MASS J00501994-3322402 [de],34,40,0.94
15,2MASS J00034227-2822410,,,
16,2MASS J00584253-0651239 [de],96,29,1.43
17,CFBDS J005910.90–011401.3,30,23,
18,2MASSI J0103320+193536,70,52,0.98
19,SDSSp J010752.33+004156.1 [de],51,52,0.98
20,2MASSI J0117474-340325 [de],163,20,1.62
21,2MASS J01415823-4633574 [de],130,20,1.61
22,SDSS J015141.69+124429.6,70,47,0.97
23,DENIS-P J020529.0−115925A,65,,
24,DENIS-P J020529.0−115925B,65,,
25,DENIS-P J020529.0−115925C,65,,
26,SDSS J020742.48+000056.2 [de],111,47,0.97
27,2MASS J02103857-3015313,101,15,1.53
28,2MASS J02340093-6442068,155,20,1.62
29,2MASS J02411151-0326587 [de],152,27,1.41
30,2MASS J02431371−2453298,35,33,0.99
31,LP 771-21,53,78,1.08
32,2MASS J02511327+0047364,,,
33,Teegarden's star,12.578,80,1.27
34,2MASS J02535980+3206373,184,65,1.9
35,WISE J0254+0223,24,65,1.9
36,DEN 0255-4700,16.2,80,0.97
37,2MASS J03185403-3421292 [de],45,49,0.97
38,2MASS J03205965+1854233,47,88,1.15
39,2MASS J03231002-4631237,192,23,1.66
40,SDSS J032553.17+042540.1,59,45,0.95
41,2MASS J03264225-2102057 [de],80,18,1.3
42,2MASS J03284265+2302051 [de],98,54,0.98
43,2MASS J03341218-4953322,27.0,73,1.04
44,LP 944-20,20.9,73,1.43
45,2MASP J0345432+254023,88,74,1.05
46,Teide 1,380,55,3.78
47,2MASS J03510004-0052452,48,102,1.27
48,2MASS J03552337+1133437,29.8,20,1.32
49,DENIS-P J035726.9-441730 [de],130,,
50,2MASS J04151954−0935066,18.6,30,0.95
51,SDSSp J042348.57-041403.5 [de],50,,
52,2MASS J04285096-2253227 [de],85,80,1.09
